#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
1U016,4310,12100,Complement desti,6155.8,,6155.8,6155.8,6155.8
1U055,4320,12100,Complement de destinació,4899.02,,4899.02,4786.26,4786.26
2U013,9209,12100,Complement de destinació.,,,,305.01,305.01
2U017,9204,12100,Complement de destinació,46576.26,,46576.26,38762.39,38762.39
2U018,9205,12100,Complement de destinació,18966.36,,18966.36,15620.05,15620.05
2U019,9250,12100,Complement de destinació,37076.9,,37076.9,32771.32,32771.32
2U020,9203,12100,Complement de destinació,11653.6,,11653.6,8878.93,8878.93
2U021,9207,12100,Complement de destinació,7137.76,,7137.76,7235.77,7235.77
2U022,9203,12100,Complement de destinació,50372.3,,50372.3,34831.36,34831.36
2U023,9203,12100,Complement de destinació,7137.76,,7137.76,7137.76,7137.76
2U024,9320,12100,Complement de destinació,15923.74,,15923.74,19528.49,19528.49
2U026,9320,12100,Complement de destinació,10044.01,,10044.01,15517.08,15517.08
2U027,9201,12100,Complement de destinació,36768.2,,36768.2,32219.09,32219.09
2U028,9201,12100,Complement de destinació,3640.98,,3640.98,2583.37,2583.37
2U029,9310,12100,Complement de destinació,32024.02,,32024.02,24873.22,24873.22
2U061,9204,12100,Complement de destí,11653.6,,11653.6,11653.6,11653.6
2U067,9320,12100,Complement desti,9798.04,,9798.04,,
3U031,9206,12100,Complement desti,4270.14,,4270.14,3965.13,3965.13
3U032,2310,12100,Complement de destinació.,,,,1749.65,1749.65
3U032,3230,12100,Complement de destinació.,,,,2684.03,2684.03
3U033,2310,12100,Complement de destinació,19446.15,,19446.15,16182.39,15832.46
3U033,2330,12100,Complement de destinació,11127.77,,11127.77,9343.14,9343.14
3U036,3200,12100,Complement de destinació,9723.63,,9723.63,8987.41,8987.41
3U036,3230,12100,Complement de destinació.,,,,237.62,237.62
3U038,3221,12100,Complement de destinació,8160.88,,8160.88,6569.2,6569.2
3U039,3222,12100,Complement de destinació,3056.87,,3056.87,,
3U040,3410,12100,Complement de destinació.,,,,520.14,520.14
3U041,3320,12100,Complement de destinació,26041.12,,26041.12,26039.03,26039.03
3U041,3340,12100,Complement destí,4899.02,,4899.02,4549.09,4549.09
3U041,3350,12100,Complement de destinació.,,,,1149.74,1149.74
3U041,3380,12100,Complement de destinació.,,,,349.93,349.93
4U042,1340,12100,Complement destí,4899.02,,4899.02,4549.09,4549.09
4U042,9200,12100,Complement de destinació,6180.96,,6180.96,4887.36,4887.36
4U043,1510,12100,Complement de destinació,15930.6,,15930.6,15930.6,15930.6
4U044,1511,12100,Complement de destinació,8540.0,,8540.0,6851.39,6851.39
4U045,1510,12100,Complement de destinació,7137.76,,7137.76,7052.79,7052.79
4U045,1610,12100,Complement destinació,6155.8,,6155.8,4349.72,4349.72
