#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
2330,9320,12100,Complement de destinació,23061.5,,23061.5,11377.4,11377.4
2400,9201,12100,Complement de destinació,30589.16,,30589.16,17805.59,17805.59
2410,9203,12100,Complement de destinació,3640.98,,3640.98,3239.33,3239.33
2500,9310,12100,Complement de destinació,13562.5,,13562.5,13562.5,13562.5
2500,9320,12100,Complement de destinació,4899.02,,4899.02,4683.24,4683.24
2510,9310,12100,Complement de destinació,13562.5,,13562.5,13562.5,13562.5
3000,9210,12100,Complement de destinació,14695.8,,14695.8,13938.21,13938.21
3110,1320,12100,Complement de destinació,483674.68,,483674.68,430538.88,430233.87
3120,1551,12100,Complement de destinació,15930.6,,15930.6,15205.08,15205.08
3130,1620,12100,Complement de destinació,3326.68,,3326.68,2643.2,2643.2
3130,1640,12100,Complement de destinació,4899.02,,4899.02,4899.02,4899.02
3130,1720,12100,Complement de destinació,4899.02,,4899.02,4899.02,4899.02
3200,9208,12100,Complement de destinació,9774.8,,9774.8,9774.8,9774.8
3220,1552,12100,Complement de destinació,8540.0,,8540.0,8152.58,8152.58
4110,2310,12100,Complement de destinació,4899.02,,4899.02,4899.02,4899.02
4110,2311,12100,Complement de destinació,13439.02,,13439.02,13439.02,13439.02
4110,2330,12100,Complement de destinació,14697.06,,14697.06,11945.78,11945.78
4310,3120,12100,Complement de destinació,4270.14,,4270.14,4270.14,4270.14
4310,3200,12100,Complement de destinació,9980.04,,9980.04,6817.44,6817.44
4312,3221,12100,Complement de destinació,8160.88,,8160.88,8160.88,8160.88
5000,1610,12100,Complement de destinació,6155.8,,6155.8,6083.46,6083.46
5110,1512,12100,Complement de destinació,18970.53,,18970.53,18970.53,18970.53
5200,1513,12100,Complement de destinació,11417.48,,11417.48,9110.53,9110.53
5200,1552,12100,Complement de destinació,10368.01,,10368.01,11653.6,11653.6
5300,1514,12100,Complement de destinació,13059.9,,13059.9,11230.52,11230.52
5310,1511,12100,Complement de destinació,15048.88,,15048.88,15005.54,15005.54
6210,4330,12100,Complement de destinació,22229.06,,22229.06,22229.06,22229.06
6300,4310,12100,Complement de destinació,8476.99,,8476.99,4698.51,4698.51
7120,3320,12100,Complement de destinació,23823.38,,23823.38,23438.34,23438.34
7120,3380,12100,Complement de destinació,4840.7,,4840.7,2721.68,2721.68
9101,9121,12100,Complement de destinació,9739.72,,9739.72,4899.02,4899.02
1100,9121,12101,Complement específic,33802.16,,33802.16,34012.64,34012.64
1200,1520,12101,Complement específic,8623.3,,8623.3,8271.33,8271.33
1400,3301,12101,Complement específic,9728.6,,9728.6,9728.6,9728.6
1600,4321,12101,Complement específic,36464.26,,36464.26,35139.12,35139.12
2000,9210,12101,Complement específic,9408.56,,9408.56,9408.56,9408.56
2110,9204,12101,Complement específic,91019.66,,91019.66,80258.78,80258.78
2115,9204,12101,Complement específic.,,,,355.72,355.72
2120,9205,12101,Complement específic,42500.64,,42500.64,34967.8,34967.8
2130,9250,12101,Complement específic,89127.28,,89127.28,86812.35,86812.35
2140,9207,12101,Complement específic,11011.14,,11011.14,11011.14,11011.14
2200,9203,12101,Complement específic,11668.25,,11668.25,,
2210,9203,12101,Complement específic,39539.92,,39539.92,28524.85,28524.85
2220,9203,12101,Complement específic,46821.88,,46821.88,35738.09,28720.91
2230,1514,12101,Complement específic,18864.16,,18864.16,18864.16,18864.16
2300,9320,12101,Complement específic,23914.24,,23914.24,23914.24,23914.24
2310,9320,12101,Complement específic,18732.84,,18732.84,18665.73,18665.73
2330,9320,12101,Complement específic,47846.12,,47846.12,30021.98,30021.98
2400,9201,12101,Complement específic,48103.3,,48103.3,28546.48,28546.48
2410,9203,12101,Complement específic,6469.4,,6469.4,5755.77,5755.77
2500,9310,12101,Complement específic,33447.68,,33447.68,33447.68,33447.68
2500,9320,12101,Complement específic,9395.82,,9395.82,8981.94,8981.94
2510,9310,12101,Complement específic,6046.6,,6046.6,6046.6,6046.6
3000,9210,12101,Complement específic,33783.54,,33783.54,32154.4,32154.4
3110,1320,12101,Complement específic,1716261.23,,1716261.23,1462507.97,1462445.86
3120,1551,12101,Complement específic,35055.58,,35055.58,32875.8,32875.8
3130,1620,12101,Complement específic,12650.54,,12650.54,10051.45,10051.45
3130,1640,12101,Complement específic,9590.42,,9590.42,9590.42,9590.42
3130,1720,12101,Complement específic,9434.04,,9434.04,9434.04,9434.04
3200,9208,12101,Complement específic,14454.3,,14454.3,14454.3,14454.3
3220,1552,12101,Complement específic,27393.38,,27393.38,26327.32,26327.32
4110,2310,12101,Complement específic,10530.52,,10530.52,10530.52,10530.52
4110,2311,12101,Complement específic,27486.48,,27486.48,28019.6,28019.6
4110,2330,12101,Complement específic,31721.9,,31721.9,25870.04,25870.04
4310,3120,12101,Complement específic,8402.66,,8402.66,8402.66,8402.66
4310,3200,12101,Complement específic,34843.34,,34843.34,23743.19,23743.19
4312,3221,12101,Complement específic,9304.4,,9304.4,9304.4,9304.4
